Rank,Title,Hit,Like,Channel
39,"[열렬 키스] 엄기준♥김소연, 헤어짐 끝 뜨거운 재회! (ft. 딱 들켰어)",198741,521,펜트하우스
40,텐션 올려서 갑시다! 93년으로~ ‘처음 그 느낌처럼’♪,38573,2509,사랑의 콜센타
41,"“여기서 끝내자” 엄기준, 김소연에 빛 보다 빠른 손절",159506,389,펜트하우스
42,[날씨] 오늘 밤 전국 비…내일까지 최고 100㎜ 이상,4013,3,연합뉴스TV
43,"'준우승' 임성재, 마스터스 출전 소감 노컷 인터뷰",2765,22,GOLFTV X PGA TOUR
44,강남구 야산서 극단선택 동반 시도…경찰·소방 수색,16768,2,연합뉴스TV
45,[손흥민 비하인드] 토트넘이 카타르전에 전용기 띄운 이유는? (feat. 가레스 베일),9102,47,서형욱의 뽈리TV
46,※모두 정적※ 리에를 강력하게 제어하는 도중 손을 물린 강 훈련사,14117,51,개는 훌륭하다
47,마음 도난 주의보 발령~ 하늘에서 영탁이 내려와♬♡,81000,6193,사랑의 콜센타
48,"‘재개발 잭 팟’ 유진, 부동산 포기 직전 재개발 뉴스에 쾌재",293969,876,펜트하우스
49,[손흥민 득점 경기 H/L] '토트넘 데뷔골 & 2호골' 15/16 UEL 조별리그 J조 1R 토트넘 vs 카라박,36373,91,SPURS TV
50,‘함家네’ 33년 만의 두 번째 가족사진❣,118102,302,아내의 맛
51,두산-NC 풀영상,4998,77,KBO리그 NC 홈경기 영상
52,"'마스크 써달라' 요구에…""너 생명 끝나고 싶어?"" 폭언",2413,4,JTBC뉴스
53,나왔다! 찬원이의 필살기↗ ‘미운 사내’ ♬,153571,11215,사랑의 콜센타
54,박서진 ‘밀어 밀어 (PUSH PUSH)’ - KMDF 2020,24144,1157,Simply K-Pop (심플리 케이팝)
55,MVㅣ나훈아  - 테스형!ㅣ2020 신곡 아홉 이야기,960401,3593,다날엔터테인먼트
56,김호중의 마지막 인사   만개 ㅣ김호중의파트너 EP.5,99004,12548,아무도 모르게 김호중의 파트너
57,"신라왕족 고분 위 주차한 SUV 운전자 찾았다…경주시 ""고발""",9821,0,중앙일보
58,노안으로 침침👵🏻 짠내 나는 함소원,32563,65,아내의 맛
59,‘Beautiful’♪ 전주부터 차오르는 감성 영웅♥,278993,24253,사랑의 콜센타
60,"‘도·둑·년’ 김소연, 김현수×유진의 싱크로율에 극대노♨",107433,303,펜트하우스
61,"수키 김, 김정남 가족 도피과정 공개…현재 행방은?",1369,1,JTBC뉴스
62,풀영상 대한민국 vs 카타르,22989,7,축구대표팀_네이버스포츠
63,일진 특) 빌려달라면서 가져가놓고 절대 안 돌려줌ㅜ [내리겠습니다 지구에서] - EP.10,126776,192,플레이리스트 오리지널 PLAYLIST ORIGINALS
64,남은 군고구마 활용팁! #군고구마 #스모어 ::Special recipe with roasted sweet potato_이밥차,8564,21,이밥차
65,남은 군고구마 활용팁! #군고구마 #스모어 ::Special recipe with roasted sweet potato_이밥차,8564,21,이밥차
66,"‘데자뷔’ 김현수×조수민, 비슷한 말 하는 서로 다른 두 사람",123624,409,펜트하우스
67,손흥민 폭풍질주의 원조집! 디에고 마라도나 /  Football Museum,2627,18,축구박물관 - 싸카리TV
68,"‘비열한 빅 피처’ 김소연, 최예빈 독창 위해 엄기준 협박 후 거래 제안!",106085,269,펜트하우스
69,김희재✕이수영 ‘슬픈 사랑의 노래’ ♫  감미로운 듀엣..,91308,3432,사랑의 콜센타
70,[메이킹] 싸우다가 갑자기 NG가 났다..? 센스만점 대처에 웃음 터지는 현장!,113936,346,펜트하우스
71,♪ 소양강 처녀 가인이어라~  - 강원도 힐링 타임 - [트롯 전국체전],3081,599,트롯전국체전
72,[인터뷰] LG 류지현 감독을 정말 기대해도 좋은 이유,1581,14,구독허구연
73,"오지호, 간식퀸 은보아 택배 습격에 ‘투덜 투덜’ (ft. 신상 과자)",25241,44,동상이몽2_너는 내 운명
74,[47회 예고] ＂유정씨가 찾는 이태풍이라는 사람이 아니에요! 그 남자.. 죽었다면서요＂ [비밀의 남자],41101,119,비밀의 남자
75,창단 첫 한국시리즈 승리 | D-SHOT,2770,50,NC 다이노스
76,[예고] 평범한 일상에... 어쩌다 이런 일이?! 유퀴즈 '어쩌다' 특집☆,11064,41,유 퀴즈 온 더 블럭
77,[단독/미공개] ＂이분들이 방송하러 왔나..＂ 방송이 끝나자마자 질문이 없어진 요린이들?,104702,361,백파더 요리를 멈추지 마!
78,"[구사일생 엔딩] 박은석, 떨어지는 김현수 구하며 첫 등장☆",241727,546,펜트하우스
79,※최초공개※ 김준수 신곡 ‘Pit a Pat’ ♬ 올하트~♥,22930,2656,아내의 맛
80,처음 들을 순 있어도 한번만 부를 순 없는 플라워의 그 노래!(ft.담당pd),178804,978,로또싱어
81,[더뉴스-더인터뷰] 호텔까지 공공물량 '영끌'...전세난 해법 가능할까?,1005,0,뉴스는 YTN
82,"“밟고 올라가” 김영대, 김현수 당황하게 만든 쏘스윗 친절♥",129559,373,펜트하우스
83,김해신공항 사실상 백지화…'17년 갈등' 또 원점으로,28934,22,JTBC뉴스
84,"[직캠]한국 2-1 카타르, 손흥민 출근길부터 경기 후! 그리고 퇴근길까지~",4387,12,이건의 발품스토리 TV
85,'조제' 1차 예고편,354816,2140,네이버 영화 예고편 저장소
86,"‘똑같은 얼굴, 갑각류 알러지...’ 엄현경, 강은탁 정체 눈치챘을까?!",30956,134,비밀의 남자
87,"법무부, 평검사 보내 '윤석열 감찰' 시도...반발로 무산",5867,2,뉴스는 YTN
88,"한국시리즈 우승팀은?…NC VS 두산, 허구연의 전력분석",60496,230,구독허구연
89,"‘2세 계획’ 전진×류이서, 아이에 대한 진솔한 이야기",139345,510,동상이몽2_너는 내 운명
90,‘고백’ ♬ 크러쉬 ✕ MC웅의 숨겨왔던 랩 실력🎤,256747,20135,사랑의 콜센타
91,<이밥차 11월 호>어묵과 두부의 환상 조합! #어묵 #두부찌개 :: Korean style Spicy Tofu Stew recipe,6356,27,이밥차
92,<이밥차 11월 호>어묵과 두부의 환상 조합! #어묵 #두부찌개 :: Korean style Spicy Tofu Stew recipe,6356,27,이밥차
93,현대캐피탈-OK금융그룹 풀영상,2918,1,프로배구 네이버스포츠
94,하루 확진자 300명인데…노마스크로 MVP 거부,4007,1,연합뉴스TV
95,코로나19·독감 동시 검사 내일(19일)부터 건보 적용｜코로나19 중대본 브리핑  (20.11.18.),8181,14,KTV 국민방송
96,"＜선공개＞ EXID! 개인 활동 후, 심경 최초 고백?!",211203,555,미쓰백
97,2018-19 '아시아 최초 신인상' 다시 보는 임성재 활약상,7111,8,GOLFTV X PGA TOUR
98,김범x김용지 여우 콤비의 귀염뽀짝 인터뷰! [구미호뎐  못다 한 이야기] 소개해드립니다♥,12262,334,구미호뎐
99,"[차홍스타일링] 동그란얼굴형, 사이드뱅으로 머리 예쁘게 길러 보아요💇💇‍♀️Round",4809,54,차홍 chahong official
100,10명 이상 신규 집단감염 하루 10건...81일만에 3백 명대,817,0,뉴스는 YTN
